payment_id,user_id,subscription_id,amount,payment_date,method,status,created_at
1,679,679,50000,2025-03-04 08:32:00,credit_card,failed,2025-03-04 08:32:00
2,594,594,150000,2024-02-11 14:15:50,bank_transfer,completed,2024-02-11 14:15:50
3,291,291,100000,2024-06-25 08:40:52,gopay,failed,2024-06-25 08:40:52
4,930,930,150000,2025-07-30 21:46:36,credit_card,completed,2025-07-30 21:46:36
5,173,173,50000,2025-06-12 09:02:44,bank_transfer,failed,2025-06-12 09:02:44
6,311,311,150000,2024-04-21 00:14:16,dana,pending,2024-04-21 00:14:16
7,30,30,150000,2024-11-01 14:12:21,gopay,pending,2024-11-01 14:12:21
8,522,522,150000,2024-03-09 07:38:07,credit_card,failed,2024-03-09 07:38:07
9,419,419,150000,2024-03-21 06:41:56,bank_transfer,pending,2024-03-21 06:41:56
10,670,670,150000,2025-04-25 06:51:44,credit_card,failed,2025-04-25 06:51:44
11,793,793,150000,2025-05-25 11:33:04,dana,failed,2025-05-25 11:33:04
12,307,307,50000,2025-07-16 07:40:52,bank_transfer,completed,2025-07-16 07:40:52
13,707,707,150000,2024-12-12 02:53:26,bank_transfer,pending,2024-12-12 02:53:26
14,35,35,150000,2024-02-04 01:59:22,credit_card,completed,2024-02-04 01:59:22
15,828,828,100000,2025-07-03 01:29:58,credit_card,pending,2025-07-03 01:29:58
16,518,518,150000,2025-05-22 10:33:36,bank_transfer,failed,2025-05-22 10:33:36
17,907,907,100000,2024-10-14 06:19:01,gopay,completed,2024-10-14 06:19:01
18,642,642,150000,2024-08-15 09:52:57,bank_transfer,failed,2024-08-15 09:52:57
19,899,899,100000,2025-01-11 21:26:48,credit_card,failed,2025-01-11 21:26:48
20,535,535,50000,2024-03-31 06:32:01,dana,completed,2024-03-31 06:32:01
21,103,103,150000,2025-02-07 12:07:15,credit_card,completed,2025-02-07 12:07:15
22,525,525,100000,2024-04-03 05:42:34,gopay,pending,2024-04-03 05:42:34
23,380,380,100000,2025-04-14 22:26:03,gopay,pending,2025-04-14 22:26:03
24,698,698,150000,2025-03-20 05:51:36,bank_transfer,completed,2025-03-20 05:51:36
25,801,801,150000,2025-03-28 23:31:36,credit_card,completed,2025-03-28 23:31:36
26,932,932,100000,2024-01-10 01:13:29,gopay,failed,2024-01-10 01:13:29
27,647,647,150000,2024-06-22 20:29:14,credit_card,completed,2024-06-22 20:29:14
28,361,361,100000,2025-09-07 21:43:11,gopay,completed,2025-09-07 21:43:11
29,38,38,100000,2025-06-03 00:32:22,gopay,completed,2025-06-03 00:32:22
30,216,216,150000,2025-06-21 17:28:06,credit_card,failed,2025-06-21 17:28:06
31,106,106,150000,2024-03-31 21:39:28,dana,completed,2024-03-31 21:39:28
32,375,375,100000,2025-04-28 00:55:41,gopay,failed,2025-04-28 00:55:41
33,398,398,50000,2025-02-12 07:19:43,dana,pending,2025-02-12 07:19:43
34,383,383,50000,2025-09-07 10:55:23,bank_transfer,completed,2025-09-07 10:55:23
35,442,442,100000,2024-04-11 03:45:56,gopay,failed,2024-04-11 03:45:56
36,602,602,100000,2024-11-17 21:37:10,dana,completed,2024-11-17 21:37:10
37,92,92,100000,2024-09-16 14:50:36,credit_card,pending,2024-09-16 14:50:36
38,70,70,50000,2025-01-13 05:25:19,gopay,failed,2025-01-13 05:25:19
39,231,231,150000,2024-10-25 14:02:46,dana,pending,2024-10-25 14:02:46
40,2,2,50000,2025-01-15 23:52:54,credit_card,completed,2025-01-15 23:52:54
41,974,974,150000,2024-11-06 19:46:27,bank_transfer,pending,2024-11-06 19:46:27
42,105,105,50000,2024-02-13 13:00:52,gopay,pending,2024-02-13 13:00:52
43,972,972,150000,2025-05-30 16:39:42,credit_card,failed,2025-05-30 16:39:42
44,11,11,50000,2025-05-31 15:11:06,credit_card,completed,2025-05-31 15:11:06
45,748,748,150000,2024-09-22 14:14:07,bank_transfer,failed,2024-09-22 14:14:07
46,228,228,50000,2025-01-26 21:23:49,credit_card,pending,2025-01-26 21:23:49
47,268,268,50000,2024-07-15 23:45:07,credit_card,completed,2024-07-15 23:45:07
48,139,139,100000,2025-04-15 19:26:43,credit_card,failed,2025-04-15 19:26:43
49,431,431,50000,2024-06-07 01:32:31,credit_card,failed,2024-06-07 01:32:31
50,501,501,50000,2024-10-18 02:49:27,gopay,failed,2024-10-18 02:49:27
51,369,369,100000,2024-06-23 02:20:15,bank_transfer,completed,2024-06-23 02:20:15
52,846,846,50000,2024-03-06 18:16:38,dana,failed,2024-03-06 18:16:38
53,45,45,50000,2024-08-06 06:13:32,dana,failed,2024-08-06 06:13:32
54,476,476,150000,2025-09-17 17:38:24,credit_card,failed,2025-09-17 17:38:24
55,504,504,50000,2024-03-05 19:54:22,credit_card,failed,2024-03-05 19:54:22
56,857,857,50000,2024-04-25 12:35:19,gopay,pending,2024-04-25 12:35:19
57,491,491,150000,2024-11-15 09:35:45,dana,pending,2024-11-15 09:35:45
58,512,512,100000,2025-01-30 18:51:51,gopay,failed,2025-01-30 18:51:51
59,912,912,50000,2024-09-15 13:36:03,credit_card,failed,2024-09-15 13:36:03
60,709,709,150000,2024-10-22 00:00:39,bank_transfer,failed,2024-10-22 00:00:39
61,289,289,150000,2024-07-01 15:10:18,dana,completed,2024-07-01 15:10:18
62,114,114,50000,2025-05-31 20:29:51,bank_transfer,completed,2025-05-31 20:29:51
63,41,41,100000,2024-06-21 04:00:18,gopay,pending,2024-06-21 04:00:18
64,310,310,50000,2025-01-04 17:32:34,bank_transfer,completed,2025-01-04 17:32:34
65,429,429,150000,2025-04-04 00:38:00,gopay,failed,2025-04-04 00:38:00
66,985,985,100000,2024-09-02 04:55:29,credit_card,pending,2024-09-02 04:55:29
67,72,72,50000,2025-02-07 05:52:48,dana,completed,2025-02-07 05:52:48
68,580,580,50000,2025-09-12 22:12:51,bank_transfer,failed,2025-09-12 22:12:51
69,543,543,150000,2024-11-28 11:33:14,dana,failed,2024-11-28 11:33:14
70,637,637,50000,2024-12-30 09:18:57,gopay,failed,2024-12-30 09:18:57
71,121,121,150000,2025-06-09 14:53:18,bank_transfer,failed,2025-06-09 14:53:18
72,268,268,50000,2024-04-08 09:54:17,credit_card,pending,2024-04-08 09:54:17
73,320,320,150000,2025-05-14 04:00:40,bank_transfer,pending,2025-05-14 04:00:40
74,627,627,50000,2025-02-13 05:31:19,credit_card,failed,2025-02-13 05:31:19
75,16,16,50000,2025-09-14 20:31:24,dana,completed,2025-09-14 20:31:24
76,105,105,50000,2025-08-08 19:54:09,gopay,failed,2025-08-08 19:54:09
77,829,829,50000,2025-06-10 10:33:38,dana,failed,2025-06-10 10:33:38
78,439,439,100000,2024-06-19 09:47:43,credit_card,failed,2024-06-19 09:47:43
79,339,339,50000,2024-01-15 00:21:32,credit_card,pending,2024-01-15 00:21:32
80,635,635,100000,2025-01-28 02:48:30,bank_transfer,completed,2025-01-28 02:48:30
81,547,547,100000,2025-08-23 23:10:07,dana,failed,2025-08-23 23:10:07
82,563,563,150000,2024-07-13 22:53:24,credit_card,completed,2024-07-13 22:53:24
83,980,980,100000,2024-08-24 13:29:20,dana,pending,2024-08-24 13:29:20
84,357,357,150000,2024-05-06 19:06:58,bank_transfer,failed,2024-05-06 19:06:58
85,784,784,50000,2025-02-25 06:28:49,bank_transfer,completed,2025-02-25 06:28:49
86,186,186,150000,2025-03-12 18:36:36,credit_card,completed,2025-03-12 18:36:36
87,45,45,50000,2024-04-24 15:19:35,dana,completed,2024-04-24 15:19:35
88,68,68,150000,2024-05-13 08:56:02,gopay,failed,2024-05-13 08:56:02
89,225,225,50000,2024-01-08 02:46:47,dana,pending,2024-01-08 02:46:47
90,124,124,50000,2024-05-09 14:00:21,credit_card,pending,2024-05-09 14:00:21
91,150,150,100000,2025-01-09 00:45:17,credit_card,failed,2025-01-09 00:45:17
92,812,812,150000,2024-04-30 06:02:47,bank_transfer,pending,2024-04-30 06:02:47
93,705,705,150000,2025-04-01 02:30:52,gopay,failed,2025-04-01 02:30:52
94,904,904,150000,2024-08-17 06:55:19,gopay,pending,2024-08-17 06:55:19
95,104,104,150000,2024-08-10 05:55:22,credit_card,completed,2024-08-10 05:55:22
96,413,413,100000,2025-04-10 22:29:37,gopay,completed,2025-04-10 22:29:37
97,79,79,150000,2024-03-06 14:15:58,bank_transfer,failed,2024-03-06 14:15:58
98,926,926,100000,2024-01-19 00:11:00,credit_card,pending,2024-01-19 00:11:00
99,8,8,100000,2024-03-03 20:25:16,gopay,pending,2024-03-03 20:25:16
100,240,240,100000,2025-05-21 15:39:35,credit_card,pending,2025-05-21 15:39:35
101,481,481,100000,2025-09-08 20:11:28,credit_card,pending,2025-09-08 20:11:28
102,93,93,100000,2024-03-31 10:09:26,credit_card,failed,2024-03-31 10:09:26
103,910,910,50000,2025-04-06 19:39:08,bank_transfer,completed,2025-04-06 19:39:08
104,745,745,150000,2025-03-21 09:27:46,bank_transfer,failed,2025-03-21 09:27:46
105,296,296,150000,2024-02-21 03:24:36,dana,pending,2024-02-21 03:24:36
106,554,554,150000,2025-03-16 13:33:34,dana,completed,2025-03-16 13:33:34
107,503,503,50000,2024-12-19 12:21:22,gopay,completed,2024-12-19 12:21:22
108,450,450,150000,2024-01-08 05:47:51,dana,pending,2024-01-08 05:47:51
109,568,568,150000,2025-06-18 08:51:43,gopay,completed,2025-06-18 08:51:43
110,212,212,150000,2024-08-28 17:19:16,dana,pending,2024-08-28 17:19:16
111,936,936,50000,2024-02-26 22:15:26,gopay,pending,2024-02-26 22:15:26
112,383,383,50000,2024-09-25 07:21:22,gopay,completed,2024-09-25 07:21:22
113,864,864,150000,2024-10-31 05:45:27,dana,completed,2024-10-31 05:45:27
114,127,127,100000,2025-05-16 07:16:43,credit_card,completed,2025-05-16 07:16:43
115,331,331,50000,2024-06-05 14:46:55,credit_card,completed,2024-06-05 14:46:55
