session_id,user_id,movie_id,device_type,start_time,end_time,completion_rate,created_at
1,319,497,tablet,2024-08-28 12:09:32,2024-08-28 13:30:32,86.17,2024-08-28 12:09:32
2,269,488,tablet,2025-03-05 15:41:16,2025-03-05 17:31:16,62.15,2025-03-05 15:41:16
3,550,508,mobile,2025-06-15 17:22:44,2025-06-15 18:02:44,31.5,2025-06-15 17:22:44
4,697,476,tablet,2024-11-24 21:06:22,2024-11-24 21:41:22,19.44,2024-11-24 21:06:22
5,783,282,tablet,2024-05-22 01:05:18,2024-05-22 01:58:18,40.46,2024-05-22 01:05:18
6,637,419,mobile,2024-05-27 07:15:33,2024-05-27 08:40:33,83.33,2024-05-27 07:15:33
7,237,56,mobile,2025-01-24 18:10:11,2025-01-24 18:52:11,40.38,2025-01-24 18:10:11
8,499,121,smart_tv,2024-07-06 17:44:38,2024-07-06 18:02:38,30.0,2024-07-06 17:44:38
9,960,283,mobile,2025-07-12 10:11:28,2025-07-12 11:19:28,50.0,2025-07-12 10:11:28
10,927,381,mobile,2024-08-27 04:21:38,2024-08-27 05:32:38,65.14,2024-08-27 04:21:38
11,611,345,tablet,2024-04-24 17:52:37,2024-04-24 18:24:37,21.62,2024-04-24 17:52:37
12,587,313,desktop,2024-08-28 13:12:21,2024-08-28 14:10:21,73.42,2024-08-28 13:12:21
13,344,392,tablet,2025-03-28 19:38:27,2025-03-28 21:21:27,71.53,2025-03-28 19:38:27
14,483,306,tablet,2024-09-09 09:35:07,2024-09-09 10:30:07,45.45,2024-09-09 09:35:07
15,191,426,desktop,2024-05-29 01:21:00,2024-05-29 03:00:00,64.71,2024-05-29 01:21:00
16,869,58,mobile,2024-10-29 03:29:15,2024-10-29 03:50:15,21.65,2024-10-29 03:29:15
17,663,455,mobile,2025-06-11 23:34:32,2025-06-12 01:39:32,86.21,2025-06-11 23:34:32
18,982,576,tablet,2024-04-19 00:25:48,2024-04-19 01:02:48,28.03,2024-04-19 00:25:48
19,796,8,smart_tv,2024-06-27 19:49:15,2024-06-27 22:03:15,80.24,2024-06-27 19:49:15
20,710,472,smart_tv,2024-03-03 16:23:27,2024-03-03 17:39:27,79.17,2024-03-03 16:23:27
21,472,528,tablet,2024-01-04 17:27:10,2024-01-04 18:26:10,38.82,2024-01-04 17:27:10
22,523,393,smart_tv,2024-03-06 00:00:13,2024-03-06 01:40:13,90.91,2024-03-06 00:00:13
